BURNSIDE,2008,2009,2010,2011,2012
"All offences against the person, excl sexual",3.53,3.16,3.06,2.7,2.96
#NAME?,0,0.05,0.02,0.05,0.02
#NAME?,0.16,0.25,0.34,0.11,0.18
#NAME?,2.5,2.3,2.18,1.91,2.17
#NAME?,0.87,0.57,0.52,0.64,0.59
All sexual offences,0.5,0.41,0.39,0.45,0.43
#NAME?,0.16,0.18,0.11,0.11,0.07
#NAME?,0.14,0.09,0.11,0.11,0.11
#NAME?,0.05,0.07,0.02,0.05,0.05
#NAME?,0.16,0.07,0.14,0.18,0.2
All robbery and extortion offences,0.44,0.27,0.27,0.25,0.23
#NAME?,0.3,0.2,0.11,0.14,0.14
#NAME?,0.11,0.05,0.14,0.11,0.09
#NAME?,0.02,0.02,0.02,0,0
All offences against property,46.27,40.92,37.47,35.86,33.82
#NAME?,8.88,9.37,9.09,8.23,8.56
#NAME?,0.76,1.05,0.98,0.82,0.52
#NAME?,0.41,0.3,0.16,0.25,0.14
#NAME?,1.95,1.23,0.98,1.09,1.2
#NAME?,14.86,13.58,13.38,14.04,12.83
#NAME?,1.95,1.52,1.32,1.18,1.22
#NAME?,6.59,5.94,4.17,5.47,3.98
#NAME?,0.82,0.57,0.41,0.52,0.38
#NAME?,10.05,7.37,6.99,4.26,4.99
All offences against good order,6.8,5.39,6.15,5.19,5.63
All drug offences,0.89,0.41,0.84,1.45,0.81
#NAME?,0.14,0.05,0,0.16,0.09
#NAME?,0.16,0.16,0.29,0.2,0.25
#NAME?,0.32,0.07,0.27,0.23,0.09
#NAME?,0.09,0.11,0.23,0.32,0.27
#NAME?,0.18,0.02,0.05,0.54,0.11
All driving offences,13.37,8.32,5.19,5.72,5.29
#NAME?,2.11,2.09,1.93,1.56,1.94
#NAME?,0.6,0.64,0.68,0.91,0.81
#NAME?,1.6,1.86,1.04,1.07,1.11
#NAME?,0.8,0.84,0.84,1.16,0.7
#NAME?,8.04,2.57,0.52,0.68,0.7
#NAME?,0.23,0.32,0.18,0.34,0.02
All other offences,0.14,0.11,0.16,0.14,0.09
Total offences,71.94,59,53.53,51.76,49.25
