GAWLER,2008,2009,2010,2011,2012
"All offences against the person, excl sexual",15.54,11.42,12.32,12.87,13.35
#NAME?,0.1,0,0,0.05,0.14
#NAME?,1.28,0.77,0.96,0.52,0.61
#NAME?,12.88,9.68,10.55,10.77,11.14
#NAME?,1.28,0.96,0.81,1.52,1.46
All sexual offences,1.78,1.2,1.1,1,0.99
#NAME?,0.74,0.34,0.43,0.33,0.24
#NAME?,0.69,0.58,0.33,0.43,0.33
#NAME?,0.1,0.14,0.1,0.24,0.09
#NAME?,0.25,0.14,0.24,0,0.33
All robbery and extortion offences,0.79,0.96,0.43,0.67,0.42
#NAME?,0.49,0.58,0.14,0.29,0.19
#NAME?,0.3,0.39,0.29,0.38,0.24
#NAME?,0,0,0,0,0
All offences against property,75.23,78.63,67.1,64.71,59.33
#NAME?,10.26,11.52,10.84,11.67,8.74
#NAME?,1.28,1.25,1.34,1.67,1.27
#NAME?,0.74,0.72,0.86,0.33,0.61
#NAME?,5.13,3.08,2.63,2.67,2.59
#NAME?,20.28,25.25,18.48,21.44,20.12
#NAME?,4.49,4.14,5.16,4.43,4.56
#NAME?,8.49,9.11,8.88,4.91,4.75
#NAME?,3.11,2.22,1.1,2.24,2.02
#NAME?,21.46,21.34,17.81,15.34,14.67
All offences against good order,32.36,32.04,24.36,19.35,23.41
All drug offences,2.22,2.79,1.86,2.43,2.16
#NAME?,0.39,0.19,0.24,0.33,0.24
#NAME?,0.25,0.29,0.1,0.24,0.33
#NAME?,0.84,0.96,0.72,0.76,0.66
#NAME?,0.2,1.2,0.67,0.95,0.71
#NAME?,0.54,0.14,0.14,0.14,0.24
All driving offences,40.9,28.52,23.97,18.49,19.04
#NAME?,7.15,8.38,8.74,5.91,5.55
#NAME?,2.52,1.73,1.91,1.67,1.41
#NAME?,8.88,7.95,5.92,5.43,6.53
#NAME?,3.75,3.04,2.72,1.95,1.88
#NAME?,17.71,6.17,3.39,2.48,3.1
#NAME?,0.89,1.25,1.29,1.05,0.56
All other offences,1.18,0.87,0.96,0.86,1.27
Total offences,170,156.44,132.1,120.36,119.98
