HOLDFAST BAY,2008,2009,2010,2011,2012
"All offences against the person, excl sexual",11.7,10.35,10.21,8.72,8.52
#NAME?,0.06,0.03,0,0.03,0.03
#NAME?,0.71,0.79,0.53,0.39,0.3
#NAME?,9.7,8.44,8.65,7.17,7.07
#NAME?,1.24,1.09,1.03,1.14,1.12
All sexual offences,1.78,1.82,1.53,1.08,0.93
#NAME?,0.45,0.39,0.58,0.44,0.27
#NAME?,0.68,0.9,0.56,0.33,0.25
#NAME?,0.17,0.11,0.03,0.11,0.14
#NAME?,0.48,0.42,0.36,0.19,0.27
All robbery and extortion offences,0.9,0.9,0.75,0.8,0.41
#NAME?,0.34,0.36,0.36,0.36,0.14
#NAME?,0.48,0.53,0.39,0.39,0.22
#NAME?,0.08,0,0,0.06,0.05
All offences against property,78.53,70.94,68.2,63.48,58.12
#NAME?,10.35,10.97,10.82,8.8,12.13
#NAME?,1.81,2.24,2,2.38,1.34
#NAME?,0.68,0.56,0.5,0.58,0.36
#NAME?,4.72,2.92,2.7,2.8,2.19
#NAME?,26.91,24.43,23.57,23.53,22.76
#NAME?,3.67,3.59,4.4,3.32,3.01
#NAME?,11.08,8.5,6.98,8.17,5.72
#NAME?,0.82,1.18,1.25,1.14,0.88
#NAME?,18.49,16.55,15.97,12.76,9.72
All offences against good order,21.12,20.93,21.2,20.27,17.56
All drug offences,0.68,0.9,1.31,1.33,1.56
#NAME?,0,0.06,0.11,0.08,0.16
#NAME?,0.28,0.2,0.47,0.33,0.41
#NAME?,0.23,0.28,0.25,0.19,0.25
#NAME?,0.08,0.17,0.36,0.33,0.44
#NAME?,0.08,0.2,0.11,0.39,0.3
All driving offences,25.44,16.94,12.74,12.38,12.93
#NAME?,6.42,5.92,6.71,5.65,7.34
#NAME?,1.75,0.98,1.31,1.25,1.07
#NAME?,3.62,3.7,2.39,3.02,2.47
#NAME?,1.7,1.6,1.17,0.97,0.71
#NAME?,11.34,4.18,0.89,1.27,1.23
#NAME?,0.62,0.56,0.28,0.22,0.11
All other offences,0.11,0.5,0.53,0.17,0.19
Total offences,140.27,123.28,116.47,108.22,100.22
