MITCHAM,2008,2009,2010,2011,2012
"All offences against the person, excl sexual",4.51,4.17,4.36,4.18,4.07
#NAME?,0,0,0.02,0,0.03
#NAME?,0.26,0.22,0.22,0.22,0.21
#NAME?,3.52,3.29,3.53,3.17,3.06
#NAME?,0.73,0.66,0.6,0.8,0.77
All sexual offences,0.47,0.63,0.69,0.63,0.58
#NAME?,0.11,0.19,0.11,0.17,0.17
#NAME?,0.12,0.26,0.31,0.28,0.26
#NAME?,0.05,0.03,0.12,0.06,0.05
#NAME?,0.19,0.15,0.15,0.12,0.11
All robbery and extortion offences,0.28,0.28,0.39,0.49,0.31
#NAME?,0.11,0.11,0.22,0.25,0.17
#NAME?,0.16,0.17,0.15,0.22,0.14
#NAME?,0.02,0,0.02,0.03,0
All offences against property,55.14,44.95,43.55,45.29,37.69
#NAME?,7.8,5.86,6.5,6.74,7.56
#NAME?,1.18,0.96,1.13,1.11,0.99
#NAME?,0.19,0.15,0.22,0.15,0.34
#NAME?,1.6,1.35,1.03,1.54,1.58
#NAME?,20.2,16.37,16.25,16.43,14.13
#NAME?,1.87,1.25,1.31,1.68,1.5
#NAME?,7.63,6.12,4.75,6.52,5.02
#NAME?,1.06,1.16,1.11,1.32,0.51
#NAME?,13.62,11.72,11.25,9.8,6.06
All offences against good order,11.45,10.81,10.51,9.66,8.59
All drug offences,0.48,0.76,0.83,1.03,1.42
#NAME?,0.05,0.05,0.03,0.08,0.11
#NAME?,0.12,0.14,0.15,0.35,0.44
#NAME?,0.17,0.2,0.25,0.14,0.28
#NAME?,0.03,0.23,0.31,0.22,0.43
#NAME?,0.11,0.14,0.09,0.25,0.17
All driving offences,14.3,8.57,6.49,6.86,5.89
#NAME?,2.57,2.75,2.88,2.92,2.37
#NAME?,0.93,0.8,0.65,0.83,0.84
#NAME?,2.19,1.7,1.23,1.37,1.39
#NAME?,0.93,0.82,0.59,0.78,0.57
#NAME?,7.3,2.26,0.74,0.68,0.54
#NAME?,0.37,0.23,0.4,0.28,0.18
All other offences,0.36,0.23,0.15,0.34,0.12
Total offences,87,70.39,66.97,68.49,58.67
