NORWOOD PAYNEHAM AND ST PETERS,2008,2009,2010,2011,2012
"All offences against the person, excl sexual",8.29,7.25,7.32,7.61,6.78
#NAME?,0.11,0.03,0.08,0,0
#NAME?,0.56,0.61,0.25,0.28,0.44
#NAME?,6.43,5.24,5.75,5.92,5.06
#NAME?,1.18,1.37,1.24,1.41,1.28
All sexual offences,1.4,1.2,0.8,0.69,0.96
#NAME?,0.25,0.33,0.17,0.14,0.14
#NAME?,0.17,0.22,0.25,0.17,0.25
#NAME?,0.06,0.11,0.03,0.03,0.08
#NAME?,0.93,0.53,0.36,0.36,0.49
All robbery and extortion offences,0.87,0.59,0.64,0.85,0.68
#NAME?,0.51,0.39,0.22,0.44,0.38
#NAME?,0.37,0.14,0.3,0.36,0.3
#NAME?,0,0.06,0.11,0.06,0
All offences against property,83.33,71.04,65.49,62.08,54.52
#NAME?,15.06,10.46,12.08,10.91,9.4
#NAME?,2.33,2.23,2.02,2.12,2.27
#NAME?,0.9,0.72,0.91,0.69,0.93
#NAME?,3.76,3.79,2.4,2.4,2.02
#NAME?,25.82,24.23,23.4,21.22,19.02
#NAME?,4.8,3.68,4.28,4.19,3.88
#NAME?,10.84,8.7,8.32,9.59,6.23
#NAME?,0.73,1.14,0.83,0.58,1.12
#NAME?,19.08,16.09,11.25,10.39,9.65
All offences against good order,15.4,12.74,14.04,12.34,13.85
All drug offences,1.55,2.01,2.43,1.87,2.9
#NAME?,0.11,0.22,0.3,0.25,0.3
#NAME?,0.34,0.33,0.61,0.28,0.49
#NAME?,0.34,0.53,0.53,0.33,0.36
#NAME?,0.11,0.59,0.41,0.52,0.87
#NAME?,0.65,0.33,0.58,0.5,0.87
All driving offences,42.82,24.03,15,15.1,18.06
#NAME?,7.7,6.86,5.39,5.24,6.89
#NAME?,1.88,1.34,1.33,1.07,1.8
#NAME?,7.08,4.77,3.87,3.83,5.06
#NAME?,3.15,2.12,2.27,2.34,2.21
#NAME?,22.62,8.5,1.77,2.29,1.83
#NAME?,0.39,0.45,0.39,0.33,0.27
All other offences,0.67,0.42,0.75,0.36,0.77
Total offences,154.32,119.27,106.47,100.91,98.51
