ONKAPARINGA,2008,2009,2010,2011,2012
"All offences against the person, excl sexual",10.37,10.48,9.67,10.04,10.02
#NAME?,0.03,0.08,0.02,0.02,0.02
#NAME?,0.84,0.62,0.56,0.39,0.48
#NAME?,8.65,8.92,7.92,8.59,8.4
#NAME?,0.85,0.87,1.16,1.03,1.12
All sexual offences,1.55,1.09,1,1.16,1.13
#NAME?,0.38,0.29,0.3,0.31,0.41
#NAME?,0.35,0.34,0.28,0.37,0.33
#NAME?,0.38,0.19,0.18,0.2,0.15
#NAME?,0.43,0.26,0.24,0.28,0.25
All robbery and extortion offences,0.5,0.55,0.5,0.45,0.47
#NAME?,0.18,0.24,0.26,0.24,0.25
#NAME?,0.29,0.27,0.22,0.18,0.18
#NAME?,0.03,0.04,0.02,0.02,0.04
All offences against property,62.32,55.37,56.88,59.13,59.44
#NAME?,8.32,7.55,8.09,8.17,9.72
#NAME?,1.39,1.12,1.73,1.35,1.32
#NAME?,0.6,0.6,0.61,0.68,0.82
#NAME?,2.87,1.77,2.05,2.31,2.72
#NAME?,19.56,17.17,17.45,19.89,19.22
#NAME?,2.99,3.15,3.96,4.01,4.41
#NAME?,5.88,4.97,6.16,6.73,6.23
#NAME?,1.6,1.32,1.31,1.54,1.8
#NAME?,19.11,17.72,15.52,14.45,13.19
All offences against good order,27.54,24.2,22.46,22.14,24.09
All drug offences,2.09,2.62,2.49,3.05,3.17
#NAME?,0.22,0.26,0.17,0.28,0.34
#NAME?,0.47,0.21,0.34,0.45,0.46
#NAME?,0.94,0.9,0.89,0.91,0.81
#NAME?,0.26,0.88,0.82,0.97,0.93
#NAME?,0.21,0.37,0.27,0.45,0.62
All driving offences,31.84,18.52,12.32,11.89,12.32
#NAME?,5.69,5.05,4.11,4.09,4.24
#NAME?,1.58,1.41,1.05,1.19,1.25
#NAME?,6.67,4.46,3.17,3.25,3.63
#NAME?,2.16,1.9,1.55,1.19,1.07
#NAME?,14.86,5.03,1.88,1.74,1.87
#NAME?,0.87,0.67,0.57,0.42,0.26
All other offences,0.39,0.95,0.61,0.43,0.36
Total offences,136.61,113.76,105.93,108.28,111
