UNLEY,2008,2009,2010,2011,2012
"All offences against the person, excl sexual",6,5.48,4.98,4.46,4.95
#NAME?,0.03,0,0.05,0.03,0
#NAME?,0.21,0.39,0.23,0.05,0.16
#NAME?,4.6,4.07,3.76,3.57,4.04
#NAME?,1.16,1.02,0.94,0.81,0.75
All sexual offences,0.69,0.84,1.04,0.5,0.88
#NAME?,0.26,0.24,0.42,0.18,0.28
#NAME?,0.21,0.29,0.23,0.18,0.34
#NAME?,0.05,0.05,0.05,0.03,0.03
#NAME?,0.16,0.26,0.34,0.1,0.23
All robbery and extortion offences,0.63,0.47,0.29,0.63,0.23
#NAME?,0.4,0.29,0.16,0.42,0.05
#NAME?,0.24,0.13,0.13,0.18,0.16
#NAME?,0,0.05,0,0.03,0.03
All offences against property,64.17,65.99,58.96,59.94,43.84
#NAME?,11.9,11.7,12.78,9.49,9.35
#NAME?,1.37,1.78,1.75,1.56,0.75
#NAME?,0.24,0.26,0.42,0.42,0.31
#NAME?,3.2,2.55,1.62,2.01,2.15
#NAME?,24.67,26.47,25.1,27.67,15.46
#NAME?,2.88,2.31,1.88,2.61,2.43
#NAME?,8.09,8.76,6.24,8.34,5.13
#NAME?,1,0.79,0.6,0.65,0.88
#NAME?,10.81,11.36,8.58,7.19,7.38
All offences against good order,9.33,9.81,8.77,7.95,8.49
All drug offences,0.98,0.73,0.97,0.68,1.06
#NAME?,0.26,0.08,0.08,0.08,0.13
#NAME?,0.21,0.21,0.21,0.18,0.31
#NAME?,0.21,0.24,0.29,0.13,0.18
#NAME?,0,0.13,0.29,0.1,0.31
#NAME?,0.29,0.08,0.1,0.18,0.13
All driving offences,12.59,6.64,4.8,6.28,7.38
#NAME?,2.83,2.49,2.4,3.02,3.75
#NAME?,0.87,0.68,0.68,1.09,0.73
#NAME?,2.06,1.29,0.63,1.12,1.71
#NAME?,0.79,0.71,0.47,0.5,0.62
#NAME?,5.87,1.44,0.63,0.5,0.52
#NAME?,0.16,0.03,0,0.05,0.05
All other offences,0.21,0.18,0.21,0.08,0.08
Total offences,94.6,90.15,80.01,80.5,66.91
