,2008,2009,2010,2011,2012
"All offences against the person, excl sexual",3.53,3.16,3.06,2.70,2.96
- Homicide,0.00,0.05,0.02,0.05,0.02
- Major assault,0.16,0.25,0.34,0.11,0.18
- Minor assault,2.50,2.30,2.18,1.91,2.17
- Other against person,0.87,0.57,0.52,0.64,0.59
All sexual offences,0.50,0.41,0.39,0.45,0.43
- Rape,0.16,0.18,0.11,0.11,0.07
- Indecent assault,0.14,0.09,0.11,0.11,0.11
- Unlawful sexual intercourse,0.05,0.07,0.02,0.05,0.05
- Other sexual offences,0.16,0.07,0.14,0.18,0.20
All robbery and extortion offences,0.44,0.27,0.27,0.25,0.23
- Armed robbery,0.30,0.20,0.11,0.14,0.14
- Unarmed robbery,0.11,0.05,0.14,0.11,0.09
- Extortion,0.02,0.02,0.02,0.00,0.00
All offences against property,46.27,40.92,37.47,35.86,33.82
- Serious criminal trespass/break and enter,8.88,9.37,9.09,8.23,8.56
- Fraud and misappropriation,0.76,1.05,0.98,0.82,0.52
- Receiving & illegal possession of stolen goods,0.41,0.30,0.16,0.25,0.14
- Larceny/illegal use of motor vehicle,1.95,1.23,0.98,1.09,1.20
- Other larceny,14.86,13.58,13.38,14.04,12.83
- Larceny from shops,1.95,1.52,1.32,1.18,1.22
- Larceny from a motor vehicle,6.59,5.94,4.17,5.47,3.98
- Arson/explosives,0.82,0.57,0.41,0.52,0.38
- Property damage and environmental offences,10.05,7.37,6.99,4.26,4.99
All offences against good order,6.80,5.39,6.15,5.19,5.63
All drug offences,0.89,0.41,0.84,1.45,0.81
- Possess/use,0.14,0.05,0.00,0.16,0.09
- Sell/trade,0.16,0.16,0.29,0.20,0.25
- Produce/manufacture,0.32,0.07,0.27,0.23,0.09
- Possess implement for drug use,0.09,0.11,0.23,0.32,0.27
- Other drug offences,0.18,0.02,0.05,0.54,0.11
All driving offences,13.37,8.32,5.19,5.72,5.29
- Driving alc/drugs,2.11,2.09,1.93,1.56,1.94
- Dangerous driving,0.60,0.64,0.68,0.91,0.81
- Driving licence,1.60,1.86,1.04,1.07,1.11
- Traffic offences,0.80,0.84,0.84,1.16,0.70
- MV registration,8.04,2.57,0.52,0.68,0.70
- Other MV,0.23,0.32,0.18,0.34,0.02
All other offences,0.14,0.11,0.16,0.14,0.09
Total offences,71.94,59.00,53.53,51.76,49.25
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
